SALES_ID,SALES_REP,EMAILS,BRANDS,PLANT_COST,UNIT_PRICE,QUANTITY,COST,PROFIT,COUNTRIES,REGION ,MONTHS,YEARS
1,Jardine,jard@gmail.com,trophy,150,200,725,145000,36250,Ghana,Southeast,January,2019
2,Gill,gillhell@uk.com,budweiser,250,500,815,407500,203750,Nigeria,west,February,2018
3,Sorvino,sorvi2000@gmail.com,castle lite,180,450,937,421650,252990,Togo,southsouth,March,2018
4,Jones,jone.ai@yahoo.com,eagle lager,170,250,765,191250,61200,Benin,northwest,April,2018
5,Andrews,andy@gmail.com,hero,150,200,836,167200,41800,Senegal,northeast ,May,2017
6,Jardine,jard@gmail.com,beta malt,80,150,798,119700,55860,Ghana,northcentral ,June,2019
7,Thompson,thomp@uk.com,grand malt,90,150,954,143100,57240,Nigeria,Southeast,July,2017
8,Jones,jone.ai@yahoo.com,trophy,150,200,812,162400,40600,Togo,west,August,2018
9,Morgan,morganny@gmail.com,budweiser,250,500,700,350000,175000,Benin,southsouth,September,2019
10,Howard,howard_freeman@yahoo.com,castle lite,180,450,745,335250,201150,Senegal,northwest,October,2017
11,Parent,parentty@uk.com,eagle lager,170,250,861,215250,68880,Ghana,northeast ,November,2017
12,Jones,jone.ai@yahoo.com,hero,150,200,902,180400,45100,Nigeria,northcentral ,December,2019
13,Smith,smithMan@yahoo.com,beta malt,80,150,731,109650,51170,Togo,Southeast,January,2018
14,Jones,jone.ai@yahoo.com,grand malt,90,150,843,126450,50580,Benin,west,February,2017
15,Morgan,morganny@gmail.com,trophy,150,200,939,187800,46950,Senegal,southsouth,March,2018
16,Jones,jone.ai@yahoo.com,budweiser,250,500,709,354500,177250,Ghana,northwest,April,2019
17,Parent,parentty@uk.com,castle lite,180,450,837,376650,225990,Nigeria,northeast ,May,2017
18,Kivell,kivel_go@yahoo.com,eagle lager,170,250,910,227500,72800,Togo,northcentral ,June,2018
19,Smith,smithMan@yahoo.com,hero,150,200,996,199200,49800,Benin,Southeast,July,2019
20,Parent,parentty@uk.com,beta malt,80,150,731,109650,51170,Senegal,west,August,2017
21,Gill,gillhell@uk.com,grand malt,90,150,898,134700,53880,Ghana,southsouth,September,2017
22,Smith,smithMan@yahoo.com,trophy,150,200,860,172000,43000,Nigeria,northwest,October,2018
23,Jones,jone.ai@yahoo.com,budweiser,250,500,859,429500,214750,Togo,northeast ,November,2017
24,Sorvino,sorvi2000@gmail.com,castle lite,180,450,857,385650,231390,Benin,northcentral ,December,2017
25,Jardine,jard@gmail.com,eagle lager,170,250,715,178750,57200,Senegal,Southeast,January,2018
26,Andrews,andy@gmail.com,hero,150,200,999,199800,49950,Ghana,west,February,2018
27,Howard,howard_freeman@yahoo.com,beta malt,80,150,982,147300,68740,Nigeria,southsouth,March,2017
28,Gill,gillhell@uk.com,grand malt,90,150,920,138000,55200,Togo,northwest,April,2018
29,Gill,gillhell@uk.com,trophy,150,200,875,175000,43750,Benin,northeast ,May,2017
30,Kivell,kivel_go@yahoo.com,budweiser,250,500,945,472500,236250,Senegal,northcentral ,June,2019
31,Jones,jone.ai@yahoo.com,castle lite,180,450,794,357300,214380,Ghana,Southeast,July,2019
32,Morgan,morganny@gmail.com,eagle lager,170,250,826,206500,66080,Nigeria,west,August,2017
33,Kivell,kivel_go@yahoo.com,hero,150,200,1000,200000,50000,Togo,southsouth,September,2019
34,Sorvino,sorvi2000@gmail.com,beta malt,80,150,804,120600,56280,Benin,northwest,October,2018
35,Gill,gillhell@uk.com,grand malt,90,150,890,133500,53400,Senegal,northeast ,November,2017
36,Sorvino,sorvi2000@gmail.com,trophy,150,200,870,174000,43500,Ghana,northcentral ,December,2017
37,Thompson,thomp@uk.com,budweiser,250,500,821,410500,205250,Nigeria,Southeast,January,2017
38,Andrews,andy@gmail.com,castle lite,180,450,950,427500,256500,Togo,west,February,2018
39,Jardine,jard@gmail.com,eagle lager,170,250,784,196000,62720,Benin,southsouth,March,2019
40,Jardine,jard@gmail.com,hero,150,200,999,199800,49950,Senegal,northwest,April,2019
41,Andrews,andy@gmail.com,beta malt,80,150,894,134100,62580,Ghana,northeast ,May,2019
42,Jardine,jard@gmail.com,grand malt,90,150,827,124050,49620,Nigeria,northcentral ,June,2017
43,Gill,gillhell@uk.com,trophy,150,200,779,155800,38950,Togo,Southeast,July,2018
44,Sorvino,sorvi2000@gmail.com,budweiser,250,500,835,417500,208750,Benin,west,August,2017
45,Jones,jone.ai@yahoo.com,castle lite,180,450,801,360450,216270,Senegal,southsouth,September,2018
46,Andrews,andy@gmail.com,eagle lager,170,250,710,177500,56800,Ghana,northwest,October,2017
47,Jardine,jard@gmail.com,hero,150,200,952,190400,47600,Nigeria,northeast ,November,2017
48,Thompson,thomp@uk.com,beta malt,80,150,891,133650,62370,Togo,northcentral ,December,2017
49,Jones,jone.ai@yahoo.com,grand malt,90,150,781,117150,46860,Benin,Southeast,January,2018
50,Morgan,morganny@gmail.com,trophy,150,200,845,169000,42250,Senegal,west,February,2019
51,Howard,howard_freeman@yahoo.com,budweiser,250,500,719,359500,179750,Ghana,southsouth,March,2018
52,Parent,parentty@uk.com,castle lite,180,450,878,395100,237060,Nigeria,northwest,April,2019
53,Jones,jone.ai@yahoo.com,eagle lager,170,250,832,208000,66560,Togo,northeast ,May,2018
54,Smith,smithMan@yahoo.com,hero,150,200,766,153200,38300,Benin,northcentral ,June,2017
55,Jones,jone.ai@yahoo.com,beta malt,80,150,726,108900,50820,Senegal,Southeast,July,2018
56,Morgan,morganny@gmail.com,grand malt,90,150,962,144300,57720,Ghana,west,August,2017
57,Jones,jone.ai@yahoo.com,trophy,150,200,920,184000,46000,Nigeria,southsouth,September,2018
58,Parent,parentty@uk.com,budweiser,250,500,776,388000,194000,Togo,northwest,October,2017
59,Kivell,kivel_go@yahoo.com,castle lite,180,450,872,392400,235440,Benin,northeast ,November,2018
60,Smith,smithMan@yahoo.com,eagle lager,170,250,831,207750,66480,Senegal,northcentral ,December,2017
61,Parent,parentty@uk.com,hero,150,200,847,169400,42350,Ghana,Southeast,January,2019
62,Gill,gillhell@uk.com,beta malt,80,150,931,139650,65170,Nigeria,west,February,2018
63,Smith,smithMan@yahoo.com,grand malt,90,150,768,115200,46080,Togo,southsouth,March,2017
64,Jones,jone.ai@yahoo.com,trophy,150,200,736,147200,36800,Benin,northwest,April,2017
65,Sorvino,sorvi2000@gmail.com,budweiser,250,500,780,390000,195000,Senegal,northeast ,May,2019
66,Jardine,jard@gmail.com,castle lite,180,450,918,413100,247860,Ghana,northcentral ,June,2017
67,Andrews,andy@gmail.com,eagle lager,170,250,769,192250,61520,Nigeria,Southeast,July,2019
68,Howard,howard_freeman@yahoo.com,hero,150,200,712,142400,35600,Togo,west,August,2019
69,Gill,gillhell@uk.com,beta malt,80,150,768,115200,53760,Benin,southsouth,September,2017
70,Gill,gillhell@uk.com,grand malt,90,150,940,141000,56400,Senegal,northwest,October,2018
71,Kivell,kivel_go@yahoo.com,trophy,150,200,948,189600,47400,Ghana,northeast ,November,2018
72,Jones,jone.ai@yahoo.com,budweiser,250,500,869,434500,217250,Nigeria,northcentral ,December,2018
73,Morgan,morganny@gmail.com,castle lite,180,450,727,327150,196290,Togo,Southeast,January,2019
74,Kivell,kivel_go@yahoo.com,eagle lager,170,250,833,208250,66640,Benin,west,February,2018
75,Sorvino,sorvi2000@gmail.com,hero,150,200,974,194800,48700,Senegal,southsouth,March,2018
76,Gill,gillhell@uk.com,beta malt,80,150,713,106950,49910,Ghana,northwest,April,2017
77,Sorvino,sorvi2000@gmail.com,grand malt,90,150,729,109350,43740,Nigeria,northeast ,May,2017
78,Thompson,thomp@uk.com,trophy,150,200,946,189200,47300,Togo,northcentral ,June,2019
79,Andrews,andy@gmail.com,budweiser,250,500,739,369500,184750,Benin,Southeast,July,2017
80,Jardine,jard@gmail.com,castle lite,180,450,795,357750,214650,Senegal,west,August,2019
81,Jardine,jard@gmail.com,eagle lager,170,250,701,175250,56080,Ghana,southsouth,September,2018
82,Andrews,andy@gmail.com,hero,150,200,773,154600,38650,Nigeria,northwest,October,2019
83,Jones,jone.ai@yahoo.com,beta malt,80,150,801,120150,56070,Togo,northeast ,November,2018
84,Morgan,morganny@gmail.com,grand malt,90,150,892,133800,53520,Benin,northcentral ,December,2017
85,Kivell,kivel_go@yahoo.com,trophy,150,200,739,147800,36950,Senegal,Southeast,January,2018
86,Sorvino,sorvi2000@gmail.com,budweiser,250,500,704,352000,176000,Ghana,west,February,2018
87,Gill,gillhell@uk.com,castle lite,180,450,879,395550,237330,Nigeria,southsouth,March,2018
88,Sorvino,sorvi2000@gmail.com,eagle lager,170,250,993,248250,79440,Togo,northwest,April,2017
89,Thompson,thomp@uk.com,hero,150,200,820,164000,41000,Benin,northeast ,May,2018
90,Andrews,andy@gmail.com,beta malt,80,150,869,130350,60830,Senegal,northcentral ,June,2018
91,Jardine,jard@gmail.com,grand malt,90,150,902,135300,54120,Ghana,Southeast,July,2019
92,Jardine,jard@gmail.com,trophy,150,200,981,196200,49050,Nigeria,west,August,2019
93,Andrews,andy@gmail.com,budweiser,250,500,722,361000,180500,Togo,southsouth,September,2017
94,Jardine,jard@gmail.com,castle lite,180,450,849,382050,229230,Benin,northwest,October,2017
95,Gill,gillhell@uk.com,eagle lager,170,250,910,227500,72800,Senegal,northeast ,November,2019
96,Sorvino,sorvi2000@gmail.com,hero,150,200,959,191800,47950,Ghana,northcentral ,December,2018
97,Jones,jone.ai@yahoo.com,beta malt,80,150,896,134400,62720,Nigeria,Southeast,January,2019
98,Andrews,andy@gmail.com,grand malt,90,150,856,128400,51360,Togo,west,February,2017
99,Jardine,jard@gmail.com,trophy,150,200,817,163400,40850,Benin,southsouth,March,2017
100,Thompson,thomp@uk.com,budweiser,250,500,729,364500,182250,Senegal,northwest,April,2017
101,Jones,jone.ai@yahoo.com,castle lite,180,450,805,362250,217350,Ghana,northeast ,May,2017
102,Morgan,morganny@gmail.com,eagle lager,170,250,828,207000,66240,Nigeria,northcentral ,June,2019
103,Howard,howard_freeman@yahoo.com,hero,150,200,990,198000,49500,Togo,Southeast,July,2019
104,Parent,parentty@uk.com,beta malt,80,150,831,124650,58170,Benin,west,August,2017
105,Jones,jone.ai@yahoo.com,grand malt,90,150,903,135450,54180,Senegal,southsouth,September,2019
106,Smith,smithMan@yahoo.com,trophy,150,200,751,150200,37550,Ghana,northwest,October,2017
107,Jones,jone.ai@yahoo.com,budweiser,250,500,990,495000,247500,Nigeria,northeast ,November,2019
108,Jardine,jard@gmail.com,castle lite,180,450,878,395100,237060,Togo,northcentral ,December,2018
109,Gill,gillhell@uk.com,eagle lager,170,250,720,180000,57600,Benin,Southeast,January,2017
